trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.08224772863758,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.14644021954916,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,8,4.247587623610479,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.47166235278715,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.550131497704808,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.5571300723389,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.32422967948378,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.26985885906453,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.08493484662566,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,10,-51.29825698325331,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.25828538908958,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.97305511221236,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-246.78132842056934,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,8,-51.12654073512544,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.727018474282,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.6833410357692,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,2,-128.44697511046712,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.30655608400644,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.14790471407008,"{0: 13, 1: 10, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,2,-166.3675426927358,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.70088481519738,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.22040966073797,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,1,0.7413490239236331,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-95.29913038430713,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.46638765127203,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.48428728076189,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.95462443370987,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,13,-3.9218977056350326,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.38830613186613,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.4544408235326,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
